Name,Year,Genre,Director,Writers,Rating,Liked,Acting,Story,Music
Besharam,2013,"Drama, Thriller",,Unknown,1.5,No,1.5,1.5,1
Mubarakan,2017,"Comedy, Drama",Anees Bazmee,"Rupinder Chahal, Balwinder Singh Janjua, Rajesh Chawla",0.5,No,0.5,0.5,0
Ghosted,2023,"Action, Comedy, Romance",,"Rhett Reese, Paul Wernick, Chris McKenna, Erik Sommers",3.5,Yes,3.5,3.5,3
The Family Plan,2023,"Action, Comedy, Family",Simon Cellan Jones,David Coggeshall,3,Yes,3,3.5,3
Doctor Sleep,2019,"Horror, Fantasy",,Mike Flanagan,3.5,Yes,3.5,3.5,3
Insidious,2010,"Horror, Thriller",James Wan,Leigh Whannell,5,Yes,5,5,5
The Haunting of Hill House,2018,"Thriller, Horror",,"Mitch Marcus, Lev L. Spiro",4,Yes,4,4.5,4
The Haunting of Bly Manor,2020,Not Found,Not Found,Not Found,5,Yes,5,5,5
Inside Out,2015,"Animation, Family, Adventure, Drama, Comedy",,"Meg LeFauve, Josh Cooley, Pete Docter",3.5,No,3.5,3.5,3
Insidious: Chapter 2,2013,"Horror, Thriller",James Wan,"Leigh Whannell, James Wan",4,Yes,4,4.5,4
Insidious: Chapter 3,2015,"Horror, Thriller",,Leigh Whannell,3,Yes,3,3.5,3
Insidious: The Last Key,2018,"Horror, Thriller",Adam Robitel,Leigh Whannell,3.5,Yes,3.5,3.5,3
Insidious: The Red Door,2023,"Horror, Thriller",,"Scott Teems, Leigh Whannell",1,No,1,1.5,1
Annabelle,2014,Horror,John R. Leonetti,Gary Dauberman,3,Yes,3,3.5,3
Annabelle: Creation,2017,Horror,,Gary Dauberman,4.5,Yes,4.5,4.5,4
Annabelle Comes Home,2019,Horror,Gary Dauberman,"James Wan, Gary Dauberman",1.5,No,1.5,1.5,1
The Nun,2018,Horror,,"Gary Dauberman, James Wan",3,Yes,3,3.5,3
The Nun II,2023,Horror,Michael Chaves,"Akela Cooper, Ian B. Goldberg, Richard Naing, James Wan, Gary Dauberman",1.5,No,1.5,1.5,1
Lights Out,2016,Horror,,Eric Heisserer,3.5,Yes,3.5,3.5,3
Khichdi: The Movie,2010,"Comedy, Family",Aatish Kapadia,Aatish Kapadia,4.5,Yes,4.5,4.5,4
Kevi Rite Jaish,2012,"Comedy, Drama, Family",,"Abhishek Jain, Anish Shah",0.5,No,0.5,0.5,0
Vitthal Teedi,2021,Not Found,Not Found,Not Found,3.5,Yes,3.5,3.5,3
Hum Do Hamare Do,2021,"Drama, Family",,"Bhushan Banmali, Bimal Dutta, B. R. Ishara",0.5,No,0.5,0.5,0
Last Film Show,2021,Drama,Pan Nalin,Pan Nalin,4.5,Yes,4.5,4.5,4
Chhello Divas,2015,Comedy,,Unknown,3.5,Yes,3.5,3.5,3
Naadi Dosh,2022,"Drama, Family, Romance",Krishnadev Yagnik,Krishnadev Yagnik,0.5,No,0.5,0.5,0
Gujjubhai The Great,2015,Comedy,,Unknown,3,Yes,3,3.5,3
GujjuBhai: Most Wanted,2018,"Comedy, Drama",Ishaan Randeria,Unknown,3,Yes,3,3.5,3
Gujjubhai E Gaam Gajavyu,,"Drama, Comedy",,Unknown,4.5,Yes,4.5,4.5,4
Gujjubhai ni Golmaal,,Comedy,Siddharth Randeria,Pravin Solanki,3.5,Yes,3.5,3.5,3
Argo,2012,"Drama, Thriller",,Chris Terrio,3.5,Yes,3.5,3.5,3
Dr. No,1962,"Adventure, Action, Thriller",Terence Young,"Richard Maibaum, Johanna Harwood, Berkely Mather",4.5,Yes,4.5,4.5,4
From Russia with Love,1963,"Action, Thriller, Adventure",,Richard Maibaum,5,No,5,5,5
GoldenEye,1995,"Adventure, Action, Thriller",Martin Campbell,"Bruce Feirstein, Jeffrey Caine, Ian Fleming, Michael France",5,Yes,5,5,5
Tomorrow Never Dies,1997,"Adventure, Action, Thriller",,"Bruce Feirstein, Ian Fleming",4.5,Yes,4.5,4.5,4
The World Is Not Enough,1999,"Adventure, Action, Thriller",Michael Apted,"Neal Purvis, Robert Wade, Bruce Feirstein, Ian Fleming",4.5,Yes,4.5,4.5,4
Die Another Day,2002,"Adventure, Action, Thriller",,"Robert Wade, Neal Purvis, Ian Fleming",4.5,Yes,4.5,4.5,4
Quantum of Solace,2008,"Adventure, Action, Thriller",Marc Forster,"Robert Wade, Paul Haggis, Neal Purvis",4,Yes,4,4.5,4
Sultan,2016,"Romance, Family, Comedy",,Yavuz Turgul,3.5,Yes,3.5,3.5,3
Dangal,2016,"Drama, Family, Comedy",Nitesh Tiwari,"Nikhil Mehrotra, Nitesh Tiwari",4,Yes,4,4.5,4
Ae Dil Hai Mushkil,2016,"Romance, Drama",,Karan Johar,0.5,No,0.5,0.5,0
Pink,2016,"Drama, Romance, Family",Ky Baldwin,Lilia Buckingham,4,Yes,4,4.5,4
Airlift,2016,"Drama, History, Action",,"Ritesh Shah, Suresh Nair, Raja Menon",4,Yes,4,4.5,4
Gulabo Sitabo,2020,"Drama, Comedy",Shoojit Sircar,Juhi Chaturvedi,3.5,Yes,3.5,3.5,3
The Interview,2014,"Action, Comedy",,"Dan Sterling, Evan Goldberg, Seth Rogen",3.5,Yes,3.5,3.5,3
Section 375,2019,"Drama, Thriller",Ajay Bahl,"Ajay Bahl, Manish Gupta",3.5,No,3.5,3.5,3
Bhoot,2003,"Horror, Comedy",,"Ravi Shankaran, Jasvinder Singh Bath",4.5,Yes,4.5,4.5,4
Stree,2018,"Horror, Comedy",Amar Kaushik,"Krishna D.K., Raj Nidimoru",5,Yes,5,5,5
Badla,2019,"Crime, Thriller, Mystery, Drama",,Sujoy Ghosh,3,No,3,3.5,3
Andhadhun,2018,"Crime, Mystery, Thriller, Comedy",Sriram Raghavan,"Sriram Raghavan, Pooja Ladha Surti, Arijit Biswas, Hemanth M. Rao",4.5,Yes,4.5,4.5,4
Kabhi Khushi Kabhie Gham,2001,"Comedy, Drama",,"Sheena Parikh, Karan Johar",1.5,No,1.5,1.5,1
Bang Bang!,2014,"Action, Thriller",Wych Kaosayananda,"Ken Solarz, Peter M. Lenkov",2.5,No,2.5,2.5,2
Koi... Mil Gaya,2003,"Science Fiction, Action, Adventure",,"Rakesh Roshan, Honey Irani, Robin Bhatt, Sachin Bhowmick",4,Yes,4,4.5,4
Mary Kom,2014,"Action, Drama, History",Omung Kumar,Saiwyn Quadras,2.5,No,2.5,2.5,2
Like Stars on Earth,2007,Drama,,Amole Gupte,4,Yes,4,4.5,4
Dhamaal,2007,"Comedy, Adventure",Indra Kumar,Paritosh Painter,4,Yes,4,4.5,4
Queen,2013,Drama,,"Maren Louise K‰ehne, May el-Toukhy",3.5,Yes,3.5,3.5,3
Delhi Belly,2011,"Action, Comedy",Abhinay Deo,Akshat Verma,3.5,Yes,3.5,3.5,3
Oye Lucky! Lucky Oye!,2008,"Action, Comedy",,Urmi Juvekar,4,Yes,4,4.5,4
Jolly LLB,2013,"Drama, Comedy",Subhash Kapoor,Subhash Kapoor,4,Yes,4,4.5,4
Jab We Met,2007,"Drama, Comedy, Romance",,Imtiaz Ali,3.5,Yes,3.5,3.5,3
Azhar,2016,Drama,Anthony D'Souza,Rajat Arora,1,No,1,1.5,1
Rustom,2016,"Thriller, Drama, Crime",,Vipul K Rawal,4,Yes,4,4.5,4
Raaz Reboot,2016,Horror,Vikram Bhatt,Vikram Bhatt,2,No,2,2.5,2
M.S. Dhoni: The Untold Story,2016,Drama,,"Nandu Kamte, Dilip Jha, Neeraj Pandey",3.5,Yes,3.5,3.5,3
Kahaani 2,2016,"Thriller, Mystery",Sujoy Ghosh,"Sujoy Ghosh, Suresh Nair",3.5,Yes,3.5,3.5,3
Befikre,2016,"Romance, Comedy, Drama",,Aditya Chopra,0.5,No,0.5,0.5,0
Dolly Ki Doli,2015,"Comedy, Romance",Abhishek Dogra,"Abhishek Dogra, Umashankar Singh",3.5,Yes,3.5,3.5,3
Dum Laga Ke Haisha,2015,"Comedy, Drama, Romance",,Sharat Katariya,4,Yes,4,4.5,4
Raja Natwarlal,2014,"Thriller, Drama, Mystery, Crime",Kunal Deshmukh,Parveez Shaikh,3.5,Yes,3.5,3.5,3
Don 2,2011,"Action, Thriller",,"Ameet Mehta, Farhan Akhtar",2.5,No,2.5,2.5,2
Don,2006,"Adventure, Romance",Alan Crosland,Bess Meredyth,4.5,Yes,4.5,4.5,4
Jawan,2023,"Action, Thriller",,"Atlee, Ramana Girivasan",4,Yes,4,4.5,4
Pathaan,2023,"Action, Adventure, Thriller",Siddharth Anand,"Siddharth Anand, Shridhar Raghavan",1.5,No,1.5,1.5,1
Kochadaiiyaan,2014,"Action, Adventure, Animation",,K. S. Ravikumar,3,No,3,3.5,3
A Wednesday!,2008,"Drama, Thriller",Neeraj Pandey,Neeraj Pandey,5,Yes,5,5,5
Special 26,2013,"Crime, Drama, Thriller",,Neeraj Pandey,5,Yes,5,5,5
Baby,2015,"Action, Crime",Edgar Wright,Edgar Wright,4.5,Yes,4.5,4.5,4
Aiyaary,2018,"Crime, Drama, Thriller",,Neeraj Pandey,3.5,Yes,3.5,3.5,3
Special Ops 1.5 The Himmat Story,2021,Not Found,Not Found,Not Found,4.5,Yes,4.5,4.5,4
Vikram Vedha,2017,"Action, Thriller, Crime, Adventure",,"Pushkar, Gayathri",5,Yes,5,5,5
Just Go with It,2011,"Comedy, Romance",Dennis Dugan,"Timothy Dowling, Allan Loeb",3.5,Yes,3.5,3.5,3
Grown Ups,2010,Comedy,,"Adam Sandler, Fred Wolf",4.5,Yes,4.5,4.5,4
Happy Gilmore,1996,Comedy,Dennis Dugan,"Tim Herlihy, Adam Sandler",3.5,Yes,3.5,3.5,3
Big Daddy,1999,"Comedy, Drama",,"Steve Franks, Tim Herlihy, Adam Sandler",4.5,Yes,4.5,4.5,4
Aladdin,1992,"Animation, Family, Adventure, Fantasy, Romance",Ron Clements,"Ron Clements, Ted Elliott, Terry Rossio, John Musker, Burny Mattinson, Roger Allers, Daan Jippes, Kevin Harkey, Sue C. Nichols, Francis Glebas, Darrell Rooney, Larry Leker, James Fujii, Kirk Hanson, Kevin Lima, Rebecca Reese, David Scott Smith, Chris Sanders, Brian Pimental, Patrick A. Ventura",4,Yes,4,4.5,4
Night at the Museum,2006,"Fantasy, Family, Comedy",,"Robert Ben Garant, Thomas Lennon",4.5,Yes,4.5,4.5,4
Jumanji,1995,"Adventure, Fantasy, Family",Joe Johnston,"Jonathan Hensleigh, Greg Taylor, Jim Strain",4.5,Yes,4.5,4.5,4
Night at the Museum: Battle of the Smithsonian,2009,"Adventure, Fantasy, Action, Comedy, Family",,"Robert Ben Garant, Thomas Lennon",4,Yes,4,4.5,4
"Good Morning, Vietnam",1987,"Comedy, Drama, War",Barry Levinson,Mitch Markowitz,3.5,Yes,3.5,3.5,3
Night at the Museum: Secret of the Tomb,2014,"Adventure, Comedy, Fantasy, Family",,"David Guion, Michael Handelman, Mark Friedman, Robert Ben Garant, Thomas Lennon",4,Yes,4,4.5,4
Flubber,1997,"Comedy, Family, Science Fiction",Les Mayfield,"Bill Walsh, John Hughes",4.5,Yes,4.5,4.5,4
Click,2006,"Comedy, Drama, Fantasy",,"Mark O'Keefe, Steve Koren",4,Yes,4,4.5,4
Hotel Transylvania,2012,"Animation, Comedy, Family, Fantasy",Genndy Tartakovsky,"Dan Hageman, Kevin Hageman, Todd Durham, Peter Baynham, Robert Smigel",5,Yes,5,5,5
Murder Mystery,2019,"Comedy, Mystery",,James Vanderbilt,4,Yes,4,4.5,4
Murder Mystery 2,2023,"Mystery, Comedy, Crime",Jeremy Garelick,James Vanderbilt,3,Yes,3,3.5,3
You Are So Not Invited to My Bat Mitzvah,2023,"Comedy, Drama",,Alison Peck,1.5,No,1.5,1.5,1
Hotel Transylvania 2,2015,"Animation, Comedy, Family, Fantasy",Genndy Tartakovsky,"Robert Smigel, Adam Sandler",4,Yes,4,4.5,4
Mr. Deeds,2002,"Comedy, Romance",,Tim Herlihy,4,Yes,4,4.5,4
I Now Pronounce You Chuck & Larry,2007,"Comedy, Romance",Dennis Dugan,"Jim Taylor, Alexander Payne, Barry Fanaro",3,No,3,3.5,3
Bruce Almighty,2003,"Fantasy, Comedy",,"Steve Oedekerk, Steve Koren, Mark O'Keefe",4.5,Yes,4.5,4.5,4
Evan Almighty,2007,"Fantasy, Comedy, Family",Tom Shadyac,"Steve Oedekerk, Alec Sokolow, Joel Cohen, Mark O'Keefe, Steve Koren",3.5,Yes,3.5,3.5,3
The Invention of Lying,2009,"Comedy, Fantasy, Romance",,"Ricky Gervais, Matthew Robinson",3.5,Yes,3.5,3.5,3
Anchorman: The Legend of Ron Burgundy,2004,Comedy,Adam McKay,"Will Ferrell, Adam McKay",4,Yes,4,4.5,4
Ted 2,2015,"Comedy, Fantasy",,"Seth MacFarlane, Alec Sulkin, Wellesley Wild",3.5,Yes,3.5,3.5,3
The 40 Year Old Virgin,2005,"Comedy, Romance",Judd Apatow,"Judd Apatow, Steve Carell",3.5,Yes,3.5,3.5,3
This Is the End,2013,"Action, Comedy",,"Seth Rogen, Evan Goldberg",4,Yes,4,4.5,4
Anchorman 2: The Legend Continues,2013,Comedy,Adam McKay,"Will Ferrell, Adam McKay",3,No,3,3.5,3
Meet the Parents,2000,"Comedy, Romance",,"Jim Herzfeld, John Hamburg, Greg Glienna, Mary Ruth Clarke",4,Yes,4,4.5,4
Air,2023,"Drama, History",Ben Affleck,Alex Convery,3.5,No,3.5,3.5,3
Jobs,2013,"Drama, History",,Matt Whiteley,4.5,Yes,4.5,4.5,4
Steve Jobs,2015,"Drama, History",Danny Boyle,Aaron Sorkin,4,Yes,4,4.5,4
The Black Phone,2021,"Horror, Thriller",,"Scott Derrickson, C. Robert Cargill",3,Yes,3,3.5,3
ted,2024,"Comedy, Fantasy",Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild",4.5,Yes,4.5,4.5,4
Rise of the Planet of the Apes,2011,"Thriller, Action, Drama, Science Fiction",,"Amanda Silver, Rick Jaffa",3.5,Yes,3.5,3.5,3
How to Train Your Dragon 2,2014,"Fantasy, Action, Adventure, Animation, Family",Dean DeBlois,Dean DeBlois,4,Yes,4,4.5,4
Mission: Impossible,1996,"Adventure, Action, Thriller",,"David Koepp, Robert Towne, Steven Zaillian",4,Yes,4,4.5,4
Mission: Impossible ‚Äì Fallout,2018,Not Found,Not Found,Not Found,4,Yes,4,4.5,4
Mission: Impossible ‚Äì Rogue Nation,2015,Not Found,,Not Found,4,Yes,4,4.5,4
Mission: Impossible III,2006,"Adventure, Action, Thriller",J.J. Abrams,"Alex Kurtzman, Roberto Orci, J.J. Abrams",4,Yes,4,4.5,4
Mission: Impossible II,2000,"Adventure, Action, Thriller",,"Robert Towne, Ronald D. Moore, Brannon Braga",4,Yes,4,4.5,4
The Bourne Ultimatum,2007,"Action, Drama, Mystery, Thriller",Paul Greengrass,"Tony Gilroy, George Nolfi, Scott Z. Burns",4,Yes,4,4.5,4
The Bourne Identity,2002,"Action, Drama, Mystery, Thriller",,"Tony Gilroy, William Blake Herron",4,Yes,4,4.5,4
The Bourne Supremacy,2004,"Action, Drama, Thriller",Paul Greengrass,Tony Gilroy,4,Yes,4,4.5,4
The Gray Man,2022,"Action, Thriller",,"Joe Russo, Stephen McFeely, Christopher Markus",3.5,Yes,3.5,3.5,3
Pacific Rim,2013,"Action, Science Fiction, Adventure",Guillermo del Toro,"Travis Beacham, Guillermo del Toro",5,Yes,5,5,5
Pacific Rim: Uprising,2018,"Action, Fantasy, Science Fiction, Adventure",,"Emily Carmichael, T.S. Nowlin, Kira Snyder, Steven S. DeKnight, Travis Beacham",2.5,No,2.5,2.5,2
Godzilla,1998,"Action, Drama, Science Fiction",Gareth Edwards,"David Callaham, Max Borenstein",5,Yes,5,5,5
Ramji Londonwaley,2005,"Comedy, Family, Drama",,"Sanjay Dayma, R. Madhavan",3.5,Yes,3.5,3.5,3
Bunty Aur Babli,2005,"Comedy, Crime, Romance",Shaad Ali,Jaideep Sahni,3.5,Yes,3.5,3.5,3
Don,1978,"Adventure, Romance",,Bess Meredyth,5,Yes,5,5,5
Runway 34,2022,"Thriller, Drama",Ajay Devgn,"Aamil Keyan Khan, Sandeep Kewlani",4,Yes,4,4.5,4
Baghban,2003,,,"Abdul Rashid Kardar, Begum Ansari",4,Yes,4,4.5,4
Bhoothnath Returns,2014,"Comedy, Drama, Fantasy",Nitesh Tiwari,"Nitesh Tiwari, Kamaljeet Negi",2.5,No,2.5,2.5,2
102 Not Out,2018,"Comedy, Family, Drama",,"Saumya Joshi, Vishal V. Patil",2,No,2,2.5,2
Shamitabh,2015,"Comedy, Drama, Thriller",R. Balki,R. Balki,3.5,Yes,3.5,3.5,3
God Tussi Great Ho,2008,"Comedy, Drama, Fantasy",,Rumi Jaffery,4,Yes,4,4.5,4
Aankhen,2002,"Comedy, Action, Crime, Thriller, Drama",David Dhawan,Anees Bazmee,5,Yes,5,5,5
Chhoti Si Baat,1976,"Drama, Comedy, Romance",,"Sharad Joshi, Basu Chatterjee",4,Yes,4,4.5,4
Uunchai,2022,"Comedy, Drama, Family",Sooraj Barjatya,"Sunil Gandhi, Abhishek Dixit",4,Yes,4,4.5,4
Aladin,2009,"Fantasy, Drama, Romance, Adventure, Comedy",,Sujoy Ghosh,2.5,No,2.5,2.5,2
Chehre,2021,"Thriller, Mystery, Drama",Rumi Jaffery,Ranjit Kapoor,4.5,Yes,4.5,4.5,4
Sooryavansham,1999,"Action, Drama",,"E.V.V. Satyanarayana, Vikraman",3.5,Yes,3.5,3.5,3
Namak Halaal,1982,"Action, Comedy, Mystery",Prakash Mehra,Prakash Mehra,3,No,3,3.5,3
Coolie,1983,"Action, Thriller, Crime",,"Lokesh Kanagaraj, Chandhru Anbazhagan",5,Yes,5,5,5
Satte Pe Satta,1982,Comedy,Raj N. Sippy,"Satish Bhatnagar, Jyoti Swaroop, Kader Khan",4.5,Yes,4.5,4.5,4
Hum,1991,Thriller,,Henry Johnston,3.5,Yes,3.5,3.5,3
Dostana,1980,"Drama, Comedy, Romance",Tarun Mansukhani,Tarun Mansukhani,2.5,Yes,2.5,2.5,2
Kaalia,1981,,,Unknown,4,Yes,4,4.5,4
Sharaabi,1984,"Action, Adventure",Unknown,Unknown,5,Yes,5,5,5
Sarkar 3,2017,Crime,,"Manish Gupta, Nilesh Girkar, Ramkumar Singh, Ram Gopal Varma, P. Jayakumar",2,No,2,2.5,2
Mahabharat,2013,"Adventure, Animation, Action, History, Family",Amaan Khan,Amaan Khan,4,Yes,4,4.5,4
Yaarana,1981,"Action, Romance",,Unknown,1,No,1,1.5,1
Mr. Natwarlal,1979,"Drama, Romance",Rakesh Kumar,Unknown,3,No,3,3.5,3
Bhoothnath,2008,"Family, Comedy",,"Sudhanshu Dube, Vivek Sharma",4.5,Yes,4.5,4.5,4
Happy Bhag Jayegi,2016,"Comedy, Romance",Mudassar Aziz,Mudassar Aziz,5,Yes,5,5,5
Rocketry: The Nambi Effect,2022,"Drama, History",,R. Madhavan,4,Yes,4,4.5,4
The Romantics,2023,"Drama, Romance",Galt Niederhoffer,Galt Niederhoffer,4.5,Yes,4.5,4.5,4
Ramprasad Ki Tehrvi,2019,"Drama, Family, Comedy",,Seema Pahwa,4,Yes,4,4.5,4
The Dirty Picture,2011,"Comedy, Drama",Milan Luthria,Rajat Arora,3.5,Yes,3.5,3.5,3
Chamatkar,1992,"Romance, Comedy",,"Shaukat Baig, Rajiv Mehra",3,Yes,3,3.5,3
Dharam Sankat Mein,2015,"Comedy, Drama, Family, Fantasy, Mystery",Fuwad Khan,David Baddiel,4,Yes,4,4.5,4
3G,2013,"Horror, Science Fiction, Thriller",,"Shantanu Ray Chhibber, Shiirshak S. Anand",2,No,2,2.5,2
Saaho,2019,"Action, Adventure, Thriller",Sujeeth,Sujeeth,1,No,1,1.5,1
Prem Ratan Dhan Payo,2015,"Romance, Drama, Action",,Sooraj Barjatya,2,No,2,2.5,2
Players,2012,"Romance, Comedy",Trish Sie,Whit Anderson,4,Yes,4,4.5,4
Bypass Road,2019,"Drama, Thriller",,Neil Nitin Mukesh,3,No,3,3.5,3
Lootcase,2020,Comedy,Rajesh Krishnan,"Kapil Sawant, Rajesh Krishnan",4.5,Yes,4.5,4.5,4
Go Goa Gone,2013,"Comedy, Horror",,"Krishna D.K., Raj Nidimoru",4,Yes,4,4.5,4
Bhaag Johnny,2015,Thriller,Shivam Nair,Vikram Bhatt,4,Yes,4,4.5,4
Dhoondte Reh Jaaoge,2009,Comedy,,Jalees Sherwani,4.5,Yes,4.5,4.5,4
The Italian Job,2003,"Action, Crime",F. Gary Gray,"Donna Powers, Wayne Powers",4.5,Yes,4.5,4.5,4
Ocean's Twelve,2004,"Thriller, Crime",,"George Nolfi, George Clayton Johnson, Jack Golden Russell",4,Yes,4,4.5,4
6 Underground,2019,"Action, Comedy, Thriller",Michael Bay,"Paul Wernick, Rhett Reese",3,Yes,3,3.5,3
Ocean's Thirteen,2007,"Crime, Thriller",,"George Clayton Johnson, Jack Golden Russell, David Levien, Brian Koppelman",4,Yes,4,4.5,4
Contagion,2011,"Drama, Thriller, Science Fiction",Steven Soderbergh,Scott Z. Burns,1.5,No,1.5,1.5,1
National Treasure,2004,"Adventure, Action, Thriller, Mystery",,"Jim Kouf, Marianne Wibberley, Cormac Wibberley, Oren Aviv, Charles Segars",4.5,Yes,4.5,4.5,4
National Treasure: Book of Secrets,2007,"Action, Adventure, Mystery, Thriller",Jon Turteltaub,"Gregory Poirier, Terry Rossio, Ted Elliott, Marianne Wibberley, Cormac Wibberley, Oren Aviv, Jim Kouf, Charles Segars",4,Yes,4,4.5,4
The Sorcerer's Apprentice,2010,"Fantasy, Adventure, Action",,"Doug Miro, Carlo Bernard, Matt Lopez, Mark Rosenthal, Lawrence Konner",4,Yes,4,4.5,4
The Karate Kid,1984,"Action, Adventure, Drama, Family",Harald Zwart,"Christopher Murphey, Robert Mark Kamen",4.5,Yes,4.5,4.5,4
The Karate Kid,2010,"Action, Adventure, Drama, Family",,"Christopher Murphey, Robert Mark Kamen",4,Yes,4,4.5,4
Drunken Master,1978,"Action, Comedy",Yuen Woo-Ping,"Hsiao Lung, Ng See-Yuen",4,Yes,4,4.5,4
Kung Fu Panda 2,2011,"Animation, Family, Comedy",,"Jonathan Aibel, Glenn Berger, Ryan Crego, Li Hong, Radford Sechrist, Chen-Yi Chang, Simon Wells, Ed Gombert, Derek Drymon, Robert Koo, Ethan Reiff, Cyrus Voris",4.5,Yes,4.5,4.5,4
Rush Hour,1998,"Action, Comedy, Crime",Brett Ratner,"Ross LaManna, Jim Kouf",4.5,Yes,4.5,4.5,4
Kung Fu Panda 3,2016,"Animation, Action, Adventure, Comedy, Family",,"Jonathan Aibel, Glenn Berger, Ethan Reiff, Cyrus Voris",5,Yes,5,5,5
Rush Hour 2,2001,"Action, Comedy, Crime",Brett Ratner,"Jeff Nathanson, Ross LaManna",4,Yes,4,4.5,4
Police Story,1985,"Action, Crime, Comedy",,"Edward Tang, Jackie Chan",4.5,Yes,4.5,4.5,4
Rush Hour 3,2007,"Action, Comedy, Crime",Brett Ratner,"Ross LaManna, Jeff Nathanson",4,Yes,4,4.5,4
Police Story 2,1988,"Action, Crime, Thriller",,"Edward Tang, Jackie Chan",4,Yes,4,4.5,4
Police Story 3: Super Cop,1992,"Action, Crime, Thriller",Stanley Tong Gwai-Lai,"Edward Tang, Fibe Ma Mei-Ping, Lee Wai-Yee",4.5,Yes,4.5,4.5,4
The Tuxedo,2002,"Thriller, Action, Comedy, Science Fiction",,"Michael J. Leeson, Michael J. Wilson, Phil Hay, Matt Manfredi",3.5,Yes,3.5,3.5,3
The Spy Next Door,2010,"Action, Comedy, Family",Brian Levant,"James Greer, Jonathan Bernstein, Gregory Poirier",4,Yes,4,4.5,4
Who Am I?,1998,Thriller,,"Baran bo Odar, Jantje Friese",4,No,4,4.5,4
Snake in the Eagle's Shadow,1978,"Action, Comedy",Yuen Woo-Ping,"Ng See-Yuen, Yuen Woo-Ping, Hsiao Lung, Clifford Choi",4.5,Yes,4.5,4.5,4
Skiptrace,2016,"Action, Adventure, Crime, Comedy",,"Jay Longino, BenDavid Grabinski, Chang Wen-Chia",4.5,Yes,4.5,4.5,4
Bleeding Steel,2017,"Science Fiction, Action, Adventure, Thriller",Leo Zhang,"Erica Xia-Hou, Cui Siwei, Leo Zhang",4,Yes,4,4.5,4
Kung Fu Yoga,2017,"Comedy, Mystery, Family, Action, Adventure",,Stanley Tong Gwai-Lai,3.5,Yes,3.5,3.5,3
Teen Patti,2010,"Drama, Thriller",Leena Yadav,"Leena Yadav, Shivkumar Subramaniam",4,Yes,4,4.5,4
The Matrix Reloaded,2003,"Adventure, Action, Thriller, Science Fiction",,"Lana Wachowski, Lilly Wachowski",4.5,Yes,4.5,4.5,4
The Matrix Revolutions,2003,"Adventure, Action, Thriller, Science Fiction",Lilly Wachowski,"Lilly Wachowski, Lana Wachowski",4,Yes,4,4.5,4
TRON: Legacy,2010,"Adventure, Action, Science Fiction",,"Edward Kitsis, Adam Horowitz, Steven Lisberger, Bonnie MacBird, Brian Klugman, Lee Sternthal",3.5,Yes,3.5,3.5,3
Lucy,2014,"Action, Science Fiction",Luc Besson,Luc Besson,4.5,Yes,4.5,4.5,4
Transformers: Age of Extinction,2014,"Science Fiction, Action, Adventure",,Ehren Kruger,4,Yes,4,4.5,4
Armageddon,1998,"Action, Thriller, Science Fiction, Adventure",Michael Bay,"Jonathan Hensleigh, J.J. Abrams, Robert Roy Pool",4.5,Yes,4.5,4.5,4
Apollo 13,1995,"Drama, History",,"Al Reinert, William Broyles Jr.",5,Yes,5,5,5
Neighbors,2014,Comedy,Nicholas Stoller,"Andrew J. Cohen, Brendan O'Brien",3,No,3,3.5,3
Hot Tub Time Machine,2010,"Science Fiction, Comedy, Adventure",,"Josh Heald, Sean Anders, John Morris",4,Yes,4,4.5,4
2012,2009,"Action, Adventure, Science Fiction",Roland Emmerich,"Roland Emmerich, Harald Kloser",5,Yes,5,5,5
Titanic,1997,"Drama, Romance",,James Cameron,4,Yes,4,4.5,4
Clue,1985,"Comedy, Thriller, Crime, Mystery",Jonathan Lynn,"Jonathan Lynn, John Landis",5,Yes,5,5,5
Toy Story,1995,"Family, Comedy, Animation, Adventure",,"Alec Sokolow, Joel Cohen, Joss Whedon, Andrew Stanton",3,No,3,3.5,3
The Lion King,1994,"Animation, Family, Drama",Roger Allers,"Linda Woolverton, Irene Mecchi, Jonathan Roberts, Rick Maki, Andrew Gaskill, Kevin Harkey, Chris Sanders, Larry Leker, Ed Gombert, Burny Mattinson, Lorna Cook, Joe Ranft, J¯rgen Klubien, Tom Sito, Mark Kausler, Jim Capobianco, Francis Glebas, Barry Johnson, Thom Enriquez, Gary Trousdale",4.5,Yes,4.5,4.5,4
Up,2009,"Comedy, Action, Adventure",,"Paul Wernick, Rhett Reese",4.5,Yes,4.5,4.5,4
The Goonies,1985,"Adventure, Comedy, Family",Richard Donner,"Chris Columbus, Steven Spielberg",3.5,Yes,3.5,3.5,3
Men in Black,1997,"Action, Adventure, Comedy, Science Fiction",,Ed Solomon,3.5,Yes,3.5,3.5,3
Men in Black II,2002,"Action, Comedy, Science Fiction",Barry Sonnenfeld,"Barry Fanaro, Robert Gordon",4,Yes,4,4.5,4
Men in Black 3,2012,"Action, Comedy, Science Fiction",,Etan Cohen,4,Yes,4,4.5,4
1408,2007,"Horror, Mystery",Mikael HÂfstrˆm,"Scott Alexander, Larry Karaszewski, Matt Greenberg",4,Yes,4,4.5,4
Cujo,1983,"Horror, Thriller",,"Don Carlos Dunaway, Barbara Turner",3.5,Yes,3.5,3.5,3
